24.61,-16.56,-3.94,-8.2,-1.7,9.81,0
24.45,-16.82,-6.66,-11.29,-3.25,8.26,0
24.13,-16.53,-9.45,-15.19,-4.68,5.52,0
23.68,-15.4,-12.26,-20.17,-5.08,1.11,0
22.96,-13.44,-14.76,-26.06,-4.17,-4.36,0
21.78,-10.65,-16.37,-32.67,-2.5,-9.73,0
20.24,-7.15,-17.04,-39.6,-0.83,-13.37,0
18.41,-3.16,-16.93,-46.16,0.65,-14.07,0
16.38,0.95,-16.24,-51.68,1.92,-12.62,0
14.19,4.93,-15.15,-55.66,2.98,-10.16,0
11.91,8.63,-13.87,-57.83,3.88,-7.6,0
9.58,11.96,-12.46,-58.25,4.64,-5.28,0
7.22,14.96,-10.95,-57.28,5.25,-3.2,0
4.87,17.62,-9.42,-55.06,5.78,-1.34,0
2.57,19.89,-7.96,-51.58,6.28,0.23,0
0.33,21.76,-6.59,-46.99,6.78,1.44,0
-1.85,23.24,-5.37,-41.48,7.3,2.24,0
-3.98,24.33,-4.29,-35.19,7.86,2.58,0
-6.06,24.98,-3.4,-28.31,8.44,2.39,0
-8.1,25.26,-2.72,-21.23,9.05,1.83,0
-10.06,25.25,-2.37,-14.44,9.63,1.16,0
-11.88,25.04,-2.44,-8.48,10.16,0.54,0
-13.5,24.8,-3,-4.3,10.56,0.18,0
-14.85,24.66,-4.08,-2.27,10.75,0.07,0
-15.88,24.66,-5.83,-2.35,10.54,-0.01,0
-16.56,24.7,-8.2,-4.14,9.81,-0.5,0
-16.82,24.61,-11.29,-3.94,8.26,-1.7,0
-16.53,24.45,-15.19,-6.66,5.52,-3.25,0
-15.4,24.13,-20.17,-9.45,1.11,-4.68,0
-13.44,23.68,-26.06,-12.26,-4.36,-5.08,0
-10.65,22.96,-32.67,-14.76,-9.73,-4.17,0
-7.15,21.78,-39.6,-16.37,-13.37,-2.5,0
-3.16,20.24,-46.16,-17.04,-14.07,-0.83,0
0.95,18.41,-51.68,-16.93,-12.62,0.65,0
4.93,16.38,-55.66,-16.24,-10.16,1.92,0
8.63,14.19,-57.83,-15.15,-7.6,2.98,0
11.96,11.91,-58.25,-13.87,-5.28,3.88,0
14.96,9.58,-57.28,-12.46,-3.2,4.64,0
17.62,7.22,-55.06,-10.95,-1.34,5.25,0
19.89,4.87,-51.58,-9.42,0.23,5.78,0
21.76,2.57,-46.99,-7.96,1.44,6.28,0
23.24,0.33,-41.48,-6.59,2.24,6.78,0
24.33,-1.85,-35.19,-5.37,2.58,7.3,0
24.98,-3.98,-28.31,-4.29,2.39,7.86,0
25.26,-6.06,-21.23,-3.4,1.83,8.44,0
25.25,-8.1,-14.44,-2.72,1.16,9.05,0
25.04,-10.06,-8.48,-2.37,0.54,9.63,0
24.8,-11.88,-4.3,-2.44,0.18,10.16,0
24.66,-13.5,-2.27,-3,0.07,10.56,0
24.66,-14.85,-2.35,-4.08,-0.01,10.75,0
24.7,-15.88,-4.14,-5.83,-0.5,10.54,0
20.01810174,-7.59621575,-54.91982332,-3.41728688,2.56726654,3.22723098,1
20.47637723,-9.08311563,-50.00708685,-2.41719548,2.56576991,3.44587414,1
20.79106998,-10.5241939,-44.62673232,-1.38721297,2.44857079,3.67236249,1
20.59068147,-12.10044214,-38.76975241,-0.55182376,2.15268517,4.01063381,1
20.5489271,-13.27284675,-32.6349315,0.0656478,1.6832955,4.41502773,1
19.88677694,-14.77666351,-25.85626178,1.02029675,1.07960813,4.71603147,1
19.29340437,-16.21910352,-19.14776529,1.88274549,0.53667974,5.03840671,1
18.74544079,-17.52395806,-12.8386519,2.49634684,0.18632341,5.46303438,1
18.19344446,-18.72715069,-7.21155133,2.86610279,0.1641618,6.00089812,1
17.72372645,-20.02516109,-2.56806801,3.20908255,0.37802896,6.49425449,1
17.63128857,-21.13117955,0.38825987,3.17738987,0.88102173,7.12220955,1
17.74833716,-21.77924493,1.89627968,2.44779695,1.19404981,7.94777417,1
17.97079785,-22.69576123,1.81803755,1.7770831,1.3765614,8.54365971,1
18.60892857,-23.21913285,0.12192559,0.58015168,1.12259908,9.26144539,1
19.29527419,-23.57851771,-2.57059783,-1.02245794,0.46117583,9.7969416,1
20.08813956,-23.75329691,-5.74039131,-2.80560568,-0.5485112,10.14271369,1
20.78989355,-23.65741134,-8.91882957,-5.0859717,-1.64408804,10.2225812,1
21.44000176,-23.38873837,-12.52018521,-8.07668026,-2.21826128,10.04691194,1
21.52044497,-22.98913413,-15.84587402,-11.7955488,-2.21774772,9.45401559,1
21.12066465,-21.91545897,-18.23977599,-16.62803026,-2.07785038,8.44858223,1
20.84985462,-19.59596219,-20.41878653,-23.17409498,-1.61229213,7.0214493,1
20.13267105,-16.82399584,-21.75872044,-30.06152738,-0.94072087,4.51216477,1
19.4466849,-13.31439362,-22.75865231,-37.32055819,0.04956729,1.08294483,1
18.50691499,-9.60772601,-23.07676626,-44.20783668,0.96059097,-2.7172549,1
17.41384468,-6.08752452,-23.23932048,-50.41881364,2.02663908,-6.04545788,1
15.85375835,-2.96030502,-22.6253432,-55.5658896,2.85633049,-7.99618003,1
14.28025803,-0.07388106,-21.99217191,-59.83924379,3.67018796,-8.34398817,1
12.48261686,2.56962846,-20.92118167,-63.25842251,4.26038611,-7.39240377,1
10.65247567,4.92330155,-19.97737409,-65.75869048,4.83959558,-5.87153275,1
8.8318448,7.39963266,-18.59517575,-67.46649232,5.21586983,-4.32860843,1
6.83266332,9.44782522,-17.27319339,-68.31163887,5.57631154,-2.99811042,1
5.0133139,11.53320885,-15.92160998,-68.35227131,5.84677829,-1.93484528,1
3.08625197,13.3521154,-14.37086773,-67.50346149,5.99996081,-1.13702581,1
1.89281683,15.22330193,-13.61881,-65.95622015,6.43528559,-0.52088689,1
0.56775533,16.95434095,-12.63147032,-63.73691276,6.72828954,-0.02100928,1
-1.41037472,17.81341538,-11.33590755,-60.61926499,6.93690926,0.50845383,1
-2.82540871,18.75552943,-10.65363268,-56.89595443,7.35030533,0.86689741,1
-4.2762351,19.40027503,-9.89860598,-52.49589272,7.74543059,1.0695964,1
-5.79700882,19.84708295,-8.95326925,-47.57043144,8.03344306,0.9768432,1
-7.39397466,19.90828999,-8.12212033,-42.08038299,8.33189925,0.54084159,1
-8.65078118,20.06656013,-7.41514714,-36.33112313,8.65543575,-0.09525288,1
-10.03790436,19.8666004,-6.65564235,-30.12281057,9.0201292,-1.00645257,1
-11.47191303,19.68374339,-5.80325962,-24.07251742,9.30768397,-1.8638183,1
-12.79549323,19.38652214,-5.20935201,-17.99626502,9.74605143,-2.63296283,1
-14.03426232,19.05418001,-4.92745106,-12.41256298,10.30386954,-3.07311764,1
-15.62397211,18.33706588,-4.53453823,-7.1500705,10.77168837,-3.26617363,1
-17.13341139,17.85688761,-4.10081468,-2.9369269,11.21519338,-3.08861396,1
-18.52147277,17.33870792,-4.17904165,0.12125788,11.73730688,-2.69400348,1
-19.72502869,17.20604046,-4.14597435,1.96593007,12.09928502,-2.33296841,1
-20.67785312,17.22774377,-4.91881745,2.14515762,12.60016896,-2.02511636,1
-21.43848547,17.34962873,-5.94102045,1.22392648,13.03880048,-2.05492213,1
-21.87434024,17.57758082,-7.35410271,-0.51615971,13.3602875,-2.47477861,1
-21.97879071,18.12115806,-9.22779942,-2.97426755,13.61614313,-3.27397778,1
-21.51475794,18.69664484,-11.94096706,-5.45143466,13.68915956,-4.40498175,1
-21.2085911,19.07640508,-14.57990935,-8.05089037,13.24509978,-5.24666822,1
-20.57789408,19.09667476,-18.23647971,-10.53105422,12.49192066,-5.71257147,1
-19.52073956,18.86070927,-22.73438275,-12.79916211,11.17121471,-5.74914311,1
-18.18191078,18.11715948,-27.97893654,-14.68909265,8.95848825,-5.41897517,1
-16.08713946,17.27544571,-33.92933,-16.09350683,5.70937769,-4.84244209,1
-13.32938654,16.33032094,-40.23167879,-16.99401873,1.54837825,-4.07443239,1
-10.28908672,15.34369,-46.25778699,-17.61202604,-2.98882342,-3.11135406,1
-7.48319622,13.76439308,-51.56574244,-17.39585073,-6.90344554,-2.27474985,1
-4.42401834,12.24987813,-56.57592529,-16.96780115,-8.99772574,-1.47733184,1
-1.58952916,10.5676834,-60.85880878,-16.34638046,-9.09737666,-0.74237993,1
0.84027602,8.88153657,-63.98369783,-15.52999337,-7.78777673,-0.07635849,1
3.22278648,6.88371431,-66.63487296,-14.30834444,-5.70612541,0.3390425,1
